,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,149.11576881408692,28.134815782436455,0.5934777736663819,0.35007907351098827,True,gini,,auto,1,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7817857142857143,0.7921428571428571,0.7721428571428571,0.7696428571428572,0.7814285714285715,0.7794285714285716,0.008000637729683341,377
1,306.3461998939514,13.249413672858209,1.1418181896209716,0.30315080741998723,True,gini,,auto,1,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7875,0.7939285714285714,0.7746428571428572,0.7710714285714285,0.78,0.7814285714285715,0.00834828590496399,298
2,517.8713690280914,12.480716986702836,1.9592487335205078,1.0185560230383033,True,gini,,auto,1,2,300,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7871428571428571,0.795,0.7782142857142857,0.7717857142857143,0.7821428571428571,0.7828571428571428,0.007879837354583783,240
3,157.0940288066864,19.554088505988506,0.6892341136932373,0.13618825552119812,True,gini,,auto,1,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7825,0.7853571428571429,0.7710714285714285,0.77,0.7825,0.7782857142857142,0.006422219083711151,443
4,309.35351209640504,36.60372062237214,0.843014907836914,0.4471154083573685,True,gini,,auto,1,5,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7810714285714285,0.7907142857142857,0.7771428571428571,0.7746428571428572,0.7871428571428571,0.7821428571428571,0.006014438410005955,265
5,424.3206386566162,85.48512692869892,1.8647306442260743,1.1929243723203808,True,gini,,auto,1,5,300,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.7814285714285715,0.7935714285714286,0.7739285714285714,0.7746428571428572,0.7839285714285714,0.7815000000000001,0.0071549896960806615,294
6,139.3869978904724,29.019371995929713,0.5443225860595703,0.20800888580625015,True,gini,,auto,1,10,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.7789285714285714,0.7928571428571428,0.7742857142857142,0.7710714285714285,0.7753571428571429,0.7785,0.007604375754277592,436
7,297.2588193893433,26.81896032041721,0.9628269672393799,0.24541608932672965,True,gini,,auto,1,10,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.7832142857142858,0.7917857142857143,0.7660714285714286,0.7721428571428571,0.7828571428571428,0.7792142857142859,0.009055948546763753,395
8,396.950803899765,107.03634941507194,2.120012044906616,1.6477201918988422,True,gini,,auto,1,10,300,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.7828571428571428,0.7978571428571428,0.7682142857142857,0.7728571428571429,0.7814285714285715,0.7806428571428572,0.010167976942442397,333
9,139.28825349807738,35.61387577052117,0.6060116767883301,0.16383317422386715,True,gini,,auto,2,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7853571428571429,0.7892857142857143,0.76,0.7671428571428571,0.7810714285714285,0.7765714285714285,0.011158871276400006,508
10,255.8613323688507,49.75235167642025,1.1493327140808105,0.4145997603700953,True,gini,,auto,2,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7835714285714286,0.7914285714285715,0.7767857142857143,0.77,0.7803571428571429,0.7804285714285715,0.007112076535939513,341
11,442.5091190814972,91.51225113288011,1.855111789703369,0.7086253478125651,True,gini,,auto,2,2,300,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.7878571428571428,0.7971428571428572,0.7792857142857142,0.7735714285714286,0.7782142857142857,0.7832142857142858,0.008354395152693395,227
12,110.95963749885559,32.02152294299949,0.3939335823059082,0.20966331713637998,True,gini,,auto,2,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7796428571428572,0.7853571428571429,0.7732142857142857,0.7728571428571429,0.7789285714285714,0.7780000000000001,0.004626895640200458,462
